pokemon_identifier,language_identifier,name
zigzagoon-galarian-form,jp-kana,ガラルのすがた
zigzagoon-galarian-form,jp-kanji,ガラルのすがた
zigzagoon-galarian-form,en,Galarian Form
zigzagoon-galarian-form,fr,Forme de Galar
zigzagoon-galarian-form,it,Forma di Galar
zigzagoon-galarian-form,de,Galar-Form
zigzagoon-galarian-form,es,Forma de Galar
zigzagoon-galarian-form,ko,가라르의 모습
zigzagoon-galarian-form,zh-simp,伽勒尔的样子
zigzagoon-galarian-form,zh-trad,伽勒爾的樣子
linoone-galarian-form,jp-kana,ガラルのすがた
linoone-galarian-form,jp-kanji,ガラルのすがた
linoone-galarian-form,en,Galarian Form
linoone-galarian-form,fr,Forme de Galar
linoone-galarian-form,it,Forma di Galar
linoone-galarian-form,de,Galar-Form
linoone-galarian-form,es,Forma de Galar
linoone-galarian-form,ko,가라르의 모습
linoone-galarian-form,zh-simp,伽勒尔的样子
linoone-galarian-form,zh-trad,伽勒爾的樣子
gardevoir-mega,jp-kana,メガサーナイト
gardevoir-mega,jp-kanji,メガサーナイト
gardevoir-mega,en,Mega Gardevoir
gardevoir-mega,fr,Méga-Gardevoir
gardevoir-mega,it,MegaGardevoir
gardevoir-mega,de,Mega-Guardevoir
gardevoir-mega,es,Mega-Gardevoir
gardevoir-mega,ko,메가가디안
gardevoir-mega,zh-simp,超级沙奈朵
gardevoir-mega,zh-trad,超級沙奈朵
sableye-mega,jp-kana,メガヤミラミ
sableye-mega,jp-kanji,メガヤミラミ
sableye-mega,en,Mega Sableye
sableye-mega,fr,Méga-Ténéfix
sableye-mega,it,MegaSableye
sableye-mega,de,Mega-Zobiris
sableye-mega,es,Mega-Sableye
sableye-mega,ko,메가깜까미
sableye-mega,zh-simp,超级勾魂眼
sableye-mega,zh-trad,超級勾魂眼
mawile-mega,jp-kana,メガクチート
mawile-mega,jp-kanji,メガクチート
mawile-mega,en,Mega Mawile
mawile-mega,fr,Méga-Mysdibule
mawile-mega,it,MegaMawile
mawile-mega,de,Mega-Flunkifer
mawile-mega,es,Mega-Mawile
mawile-mega,ko,메가입치트
mawile-mega,zh-simp,超级大嘴娃
mawile-mega,zh-trad,超級大嘴娃
aggron-mega,jp-kana,メガボスゴドラ
aggron-mega,jp-kanji,メガボスゴドラ
aggron-mega,en,Mega Aggron
aggron-mega,fr,Méga-Galeking
aggron-mega,it,MegaAggron
aggron-mega,de,Mega-Stolloss
aggron-mega,es,Mega-Aggron
aggron-mega,ko,메가보스로라
aggron-mega,zh-simp,超级波士可多拉
aggron-mega,zh-trad,超級波士可多拉
medicham-mega,jp-kana,メガチャーレム
medicham-mega,jp-kanji,メガチャーレム
medicham-mega,en,Mega Medicham
medicham-mega,fr,Méga-Charmina
medicham-mega,it,MegaMedicham
medicham-mega,de,Mega-Meditalis
medicham-mega,es,Mega-Medicham
medicham-mega,ko,메가요가램
medicham-mega,zh-simp,超级恰雷姆
medicham-mega,zh-trad,超級恰雷姆
manectric-mega,jp-kana,メガライボルト
manectric-mega,jp-kanji,メガライボルト
manectric-mega,en,Mega Manectric
manectric-mega,fr,Méga-Élecsprint
manectric-mega,it,MegaManectric
manectric-mega,de,Mega-Voltenso
manectric-mega,es,Mega-Manectric
manectric-mega,ko,메가썬더볼트
manectric-mega,zh-simp,超级雷电兽
manectric-mega,zh-trad,超級雷電獸
sharpedo-mega,jp-kana,メガサメハダー
sharpedo-mega,jp-kanji,メガサメハダー
sharpedo-mega,en,Mega Sharpedo
sharpedo-mega,fr,Méga-Sharpedo
sharpedo-mega,it,MegaSharpedo
sharpedo-mega,de,Mega-Tohaido
sharpedo-mega,es,Mega-Sharpedo
sharpedo-mega,ko,메가샤크니아
sharpedo-mega,zh-simp,超级巨牙鲨
sharpedo-mega,zh-trad,超級巨牙鯊
camerupt-mega,jp-kana,メガバクーダ
camerupt-mega,jp-kanji,メガバクーダ
camerupt-mega,en,Mega Camerupt
camerupt-mega,fr,Méga-Camérupt
camerupt-mega,it,MegaCamerupt
camerupt-mega,de,Mega-Camerupt
camerupt-mega,es,Mega-Camerupt
camerupt-mega,ko,메가폭타
camerupt-mega,zh-simp,超级喷火驼
camerupt-mega,zh-trad,超級噴火駝
altaria-mega,jp-kana,メガチルタリス
altaria-mega,jp-kanji,メガチルタリス
altaria-mega,en,Mega Altaria
altaria-mega,fr,Méga-Altaria
altaria-mega,it,MegaAltaria
altaria-mega,de,Mega-Altaria
altaria-mega,es,Mega-Altaria
altaria-mega,ko,메가파비코리
altaria-mega,zh-simp,超级七夕青鸟
altaria-mega,zh-trad,超級七夕青鳥
castform-normal,jp-kana,ポワルンのすがた
castform-normal,jp-kanji,ポワルンのすがた
castform-normal,en,Normal
castform-normal,fr,Forme de Morphéo
castform-normal,it,Forma Castform
castform-normal,de,Formeo
castform-normal,es,Forma de Castform
castform-normal,ko,캐스퐁의 모습
castform-normal,zh-simp,飘浮泡泡的样子
castform-normal,zh-trad,飄浮泡泡的樣子
castform-sunny-form,jp-kana,たいようのすがた
castform-sunny-form,jp-kanji,たいようのすがた
castform-sunny-form,en,Sunny Form
castform-sunny-form,fr,Forme Solaire
castform-sunny-form,it,Forma Sole
castform-sunny-form,de,Sonnenform
castform-sunny-form,es,Forma Sol
castform-sunny-form,ko,태양의 모습
castform-sunny-form,zh-simp,太阳的样子
castform-sunny-form,zh-trad,太陽的樣子
castform-rainy-form,jp-kana,あまみずのすがた
castform-rainy-form,jp-kanji,あまみずのすがた
castform-rainy-form,en,Rainy Form
castform-rainy-form,fr,Forme Eau de Pluie
castform-rainy-form,it,Forma Pioggia
castform-rainy-form,de,Regenform
castform-rainy-form,es,Forma Lluvia
castform-rainy-form,ko,빗방울의 모습
castform-rainy-form,zh-simp,雨水的样子
castform-rainy-form,zh-trad,雨水的樣子
castform-snowy-form,jp-kana,ゆきぐものすがた
castform-snowy-form,jp-kanji,ゆきぐものすがた
castform-snowy-form,en,Snowy Form
castform-snowy-form,fr,Forme Blizzard
castform-snowy-form,it,Forma Nuvola di Neve
castform-snowy-form,de,Schneeform
castform-snowy-form,es,Forma Nieve
castform-snowy-form,ko,설운의 모습
castform-snowy-form,zh-simp,雪云的样子
castform-snowy-form,zh-trad,雪雲的樣子
banette-mega,jp-kana,メガジュペッタ
banette-mega,jp-kanji,メガジュペッタ
banette-mega,en,Mega Banette
banette-mega,fr,Méga-Branette
banette-mega,it,MegaBanette
banette-mega,de,Mega-Banette
banette-mega,es,Mega-Banette
banette-mega,ko,메가다크펫
banette-mega,zh-simp,超级诅咒娃娃
banette-mega,zh-trad,超級詛咒娃娃
absol-mega,jp-kana,メガアブソル
absol-mega,jp-kanji,メガアブソル
absol-mega,en,Mega Absol
absol-mega,fr,Méga-Absol
absol-mega,it,MegaAbsol
absol-mega,de,Mega-Absol
absol-mega,es,Mega-Absol
absol-mega,ko,메가앱솔
absol-mega,zh-simp,超级阿勃梭鲁
absol-mega,zh-trad,超級阿勃梭魯
glalie-mega,jp-kana,メガオニゴーリ
glalie-mega,jp-kanji,メガオニゴーリ
glalie-mega,en,Mega Glalie
glalie-mega,fr,Méga-Oniglali
glalie-mega,it,MegaGlalie
glalie-mega,de,Mega-Firnontor
glalie-mega,es,Mega-Glalie
glalie-mega,ko,메가얼음귀신
glalie-mega,zh-simp,超级冰鬼护
glalie-mega,zh-trad,超級冰鬼護
salamence-mega,jp-kana,メガボーマンダ
salamence-mega,jp-kanji,メガボーマンダ
salamence-mega,en,Mega Salamence
salamence-mega,fr,Méga-Drattak
salamence-mega,it,MegaSalamence
salamence-mega,de,Mega-Brutalanda
salamence-mega,es,Mega-Salamence
salamence-mega,ko,메가보만다
salamence-mega,zh-simp,超级暴飞龙
salamence-mega,zh-trad,超級暴飛龍
metagross-mega,jp-kana,メガメタグロス
metagross-mega,jp-kanji,メガメタグロス
metagross-mega,en,Mega Metagross
metagross-mega,fr,Méga-Métalosse
metagross-mega,it,MegaMetagross
metagross-mega,de,Mega-Metagross
metagross-mega,es,Mega-Metagross
metagross-mega,ko,메가메타그로스
metagross-mega,zh-simp,超级巨金怪
metagross-mega,zh-trad,超級巨金怪
latias-mega,jp-kana,メガラティアス
latias-mega,jp-kanji,メガラティアス
latias-mega,en,Mega Latias
latias-mega,fr,Méga-Latias
latias-mega,it,MegaLatias
latias-mega,de,Mega-Latias
latias-mega,es,Mega-Latias
latias-mega,ko,메가라티아스
latias-mega,zh-simp,超级拉帝亚斯
latias-mega,zh-trad,超級拉帝亞斯
latios-mega,jp-kana,メガラティオス
latios-mega,jp-kanji,メガラティオス
latios-mega,en,Mega Latios
latios-mega,fr,Méga-Latios
latios-mega,it,MegaLatios
latios-mega,de,Mega-Latios
latios-mega,es,Mega-Latios
latios-mega,ko,메가라티오스
latios-mega,zh-simp,超级拉帝欧斯
latios-mega,zh-trad,超級拉帝歐斯
kyogre,jp-kana,カイオーガのすがた
kyogre,jp-kanji,カイオーガのすがた
kyogre,en,Kyogre
kyogre,fr,Kyogre
kyogre,de,Kyogre
kyogre,es,Kyogre
kyogre,ko,가이오가의 모습
kyogre,zh-simp,盖欧卡的样子
kyogre,zh-trad,蓋歐卡的樣子
kyogre-primal-reversion,jp-kana,ゲンシカイキのすがた
kyogre-primal-reversion,jp-kanji,ゲンシカイキのすがた
kyogre-primal-reversion,en,Primal Reversion
kyogre-primal-reversion,fr,Primo-Résurgence
kyogre-primal-reversion,it,Archeorisveglio
kyogre-primal-reversion,de,Protomorphose
kyogre-primal-reversion,es,Regresión Primigenia
kyogre-primal-reversion,ko,원시회귀의 모습
kyogre-primal-reversion,zh-simp,原始回归的样子
kyogre-primal-reversion,zh-trad,原始回歸的樣子
groudon,jp-kana,グラードンのすがた
groudon,jp-kanji,グラードンのすがた
groudon,en,Groudon
groudon,fr,Groudon
groudon,de,Groudon
groudon,es,Groudon
groudon,ko,그란돈의 모습
groudon,zh-simp,固拉多的样子
groudon,zh-trad,固拉多的樣子
groudon-primal-reversion,jp-kana,ゲンシカイキのすがた
groudon-primal-reversion,jp-kanji,ゲンシカイキのすがた
groudon-primal-reversion,en,Primal Reversion
groudon-primal-reversion,fr,Primo-Résurgence
groudon-primal-reversion,it,Archeorisveglio
groudon-primal-reversion,de,Protomorphose
groudon-primal-reversion,es,Regresión Primigenia
groudon-primal-reversion,ko,원시회귀의 모습
groudon-primal-reversion,zh-simp,原始回归的样子
groudon-primal-reversion,zh-trad,原始回歸的樣子
rayquaza-mega,jp-kana,メガレックウザ
rayquaza-mega,jp-kanji,メガレックウザ
rayquaza-mega,en,Mega Rayquaza
rayquaza-mega,fr,Méga-Rayquaza
rayquaza-mega,it,MegaRayquaza
rayquaza-mega,de,Mega-Rayquaza
rayquaza-mega,es,Mega-Rayquaza
rayquaza-mega,ko,메가레쿠쟈
rayquaza-mega,zh-simp,超级烈空坐
rayquaza-mega,zh-trad,超級烈空坐
deoxys-normal-forme,jp-kana,ノーマルフォルム
deoxys-normal-forme,jp-kanji,ノーマルフォルム
deoxys-normal-forme,en,Normal Forme
deoxys-normal-forme,fr,Forme Normale
deoxys-normal-forme,it,Forma Normale
deoxys-normal-forme,de,Normalform
deoxys-normal-forme,es,Forma Normal
deoxys-normal-forme,ko,노말폼
deoxys-normal-forme,zh-simp,普通形态
deoxys-normal-forme,zh-trad,普通形態
deoxys-attack-forme,jp-kana,アタックフォルム
deoxys-attack-forme,jp-kanji,アタックフォルム
deoxys-attack-forme,en,Attack Forme
deoxys-attack-forme,fr,Forme Attaque
deoxys-attack-forme,it,Forma Attacco
deoxys-attack-forme,de,Angriffsform
deoxys-attack-forme,es,Forma Ataque
deoxys-attack-forme,ko,어택폼
deoxys-attack-forme,zh-simp,攻击形态
deoxys-attack-forme,zh-trad,攻擊形態
deoxys-defense-forme,jp-kana,ディフェンスフォルム
deoxys-defense-forme,jp-kanji,ディフェンスフォルム
deoxys-defense-forme,en,Defense Forme
deoxys-defense-forme,fr,Forme Défense
deoxys-defense-forme,it,Forma Difesa
deoxys-defense-forme,de,Verteidigungsform
deoxys-defense-forme,es,Forma Defensa
deoxys-defense-forme,ko,디펜스폼
deoxys-defense-forme,zh-simp,防御形态
deoxys-defense-forme,zh-trad,防禦形態
deoxys-speed-forme,jp-kana,スピードフォルム
deoxys-speed-forme,jp-kanji,スピードフォルム
deoxys-speed-forme,en,Speed Forme
deoxys-speed-forme,fr,Forme Vitesse
deoxys-speed-forme,it,Forma Velocità
deoxys-speed-forme,de,Initiativeform
deoxys-speed-forme,es,Forma Velocidad
deoxys-speed-forme,ko,스피드폼
deoxys-speed-forme,zh-simp,速度形态
deoxys-speed-forme,zh-trad,速度形態
burmy-plant-cloak,jp-kana,くさきのミノ
burmy-plant-cloak,jp-kanji,くさきのミノ
burmy-plant-cloak,en,Plant Cloak
burmy-plant-cloak,fr,Cape Plante
burmy-plant-cloak,it,Manto Pianta
burmy-plant-cloak,de,Pflanzenumhang
burmy-plant-cloak,es,Tronco Planta
burmy-plant-cloak,ko,초목도롱
burmy-plant-cloak,zh-simp,草木蓑衣
burmy-plant-cloak,zh-trad,草木蓑衣
burmy-sandy-cloak,jp-kana,すなちのミノ
burmy-sandy-cloak,jp-kanji,すなちのミノ
burmy-sandy-cloak,en,Sandy Cloak
burmy-sandy-cloak,fr,Cape Sable
burmy-sandy-cloak,it,Manto Sabbia
burmy-sandy-cloak,de,Sandumhang
burmy-sandy-cloak,es,Tronco Arena
burmy-sandy-cloak,ko,모래땅도롱
burmy-sandy-cloak,zh-simp,砂土蓑衣
burmy-sandy-cloak,zh-trad,砂土蓑衣
burmy-trash-cloak,jp-kana,ゴミのミノ
burmy-trash-cloak,jp-kanji,ゴミのミノ
burmy-trash-cloak,en,Trash Cloak
burmy-trash-cloak,fr,Cape Déchet
burmy-trash-cloak,it,Manto Scarti
burmy-trash-cloak,de,Lumpenumhang
burmy-trash-cloak,es,Tronco Basura
burmy-trash-cloak,ko,슈레도롱
burmy-trash-cloak,zh-simp,垃圾蓑衣
burmy-trash-cloak,zh-trad,垃圾蓑衣
wormadam-plant-cloak,jp-kana,くさきのミノ
wormadam-plant-cloak,jp-kanji,くさきのミノ
wormadam-plant-cloak,en,Plant Cloak
wormadam-plant-cloak,fr,Cape Plante
wormadam-plant-cloak,it,Manto Pianta
wormadam-plant-cloak,de,Pflanzenumhang
wormadam-plant-cloak,es,Tronco Planta
wormadam-plant-cloak,ko,초목도롱
wormadam-plant-cloak,zh-simp,草木蓑衣
wormadam-plant-cloak,zh-trad,草木蓑衣
wormadam-sandy-cloak,jp-kana,すなちのミノ
wormadam-sandy-cloak,jp-kanji,すなちのミノ
wormadam-sandy-cloak,en,Sandy Cloak
wormadam-sandy-cloak,fr,Cape Sable
wormadam-sandy-cloak,it,Manto Sabbia
wormadam-sandy-cloak,de,Sandumhang
wormadam-sandy-cloak,es,Tronco Arena
wormadam-sandy-cloak,ko,모래땅도롱
wormadam-sandy-cloak,zh-simp,砂土蓑衣
wormadam-sandy-cloak,zh-trad,砂土蓑衣
wormadam-trash-cloak,jp-kana,ゴミのミノ
wormadam-trash-cloak,jp-kanji,ゴミのミノ
wormadam-trash-cloak,en,Trash Cloak
wormadam-trash-cloak,fr,Cape Déchet
wormadam-trash-cloak,it,Manto Scarti
wormadam-trash-cloak,de,Lumpenumhang
wormadam-trash-cloak,es,Tronco Basura
wormadam-trash-cloak,ko,슈레도롱
wormadam-trash-cloak,zh-simp,垃圾蓑衣
wormadam-trash-cloak,zh-trad,垃圾蓑衣
cherrim-overcast-form,jp-kana,ネガフォルム
cherrim-overcast-form,jp-kanji,ネガフォルム
cherrim-overcast-form,en,Overcast Form
cherrim-overcast-form,fr,Temps Couvert
cherrim-overcast-form,it,Forma Nuvola
cherrim-overcast-form,de,Wolkenform
cherrim-overcast-form,es,Forma Encapotado
cherrim-overcast-form,ko,네거폼
cherrim-overcast-form,zh-simp,阴天形态
cherrim-overcast-form,zh-trad,陰天形態
cherrim-sunshine-form,jp-kana,ポジフォルム
cherrim-sunshine-form,jp-kanji,ポジフォルム
cherrim-sunshine-form,en,Sunshine Form
cherrim-sunshine-form,fr,Temps Ensoleillé
cherrim-sunshine-form,it,Forma Splendore
cherrim-sunshine-form,de,Sonnenform
cherrim-sunshine-form,es,Forma Soleado
cherrim-sunshine-form,ko,포지폼
cherrim-sunshine-form,zh-simp,晴天形态
cherrim-sunshine-form,zh-trad,晴天形態
shellos-west-sea,jp-kana,にしのうみ
shellos-west-sea,jp-kanji,にしのうみ
shellos-west-sea,en,West Sea
shellos-west-sea,fr,Mer Occident
shellos-west-sea,it,Mare Ovest
shellos-west-sea,de,Westliches Meer
shellos-west-sea,es,Mar Oeste
shellos-west-sea,ko,서쪽바다
shellos-west-sea,zh-simp,西海
shellos-west-sea,zh-trad,西海
shellos-east-sea,jp-kana,ひがしのうみ
shellos-east-sea,jp-kanji,ひがしのうみ
shellos-east-sea,en,East Sea
shellos-east-sea,fr,Mer Orient
shellos-east-sea,it,Mare Est
shellos-east-sea,de,Östliches Meer
shellos-east-sea,es,Mar Este
shellos-east-sea,ko,동쪽바다
shellos-east-sea,zh-simp,东海
shellos-east-sea,zh-trad,東海
gastrodon-west-sea,jp-kana,にしのうみ
gastrodon-west-sea,jp-kanji,にしのうみ
gastrodon-west-sea,en,West Sea
gastrodon-west-sea,fr,Mer Occident
gastrodon-west-sea,it,Mare Ovest
gastrodon-west-sea,de,Westliches Meer
gastrodon-west-sea,es,Mar Oeste
gastrodon-west-sea,ko,서쪽바다
gastrodon-west-sea,zh-simp,西海
gastrodon-west-sea,zh-trad,西海
gastrodon-east-sea,jp-kana,ひがしのうみ
gastrodon-east-sea,jp-kanji,ひがしのうみ
gastrodon-east-sea,en,East Sea
gastrodon-east-sea,fr,Mer Orient
gastrodon-east-sea,it,Mare Est
gastrodon-east-sea,de,Östliches Meer
gastrodon-east-sea,es,Mar Este
gastrodon-east-sea,ko,동쪽바다
gastrodon-east-sea,zh-simp,东海
gastrodon-east-sea,zh-trad,東海
lopunny-mega,jp-kana,メガミミロップ
lopunny-mega,jp-kanji,メガミミロップ
lopunny-mega,en,Mega Lopunny
lopunny-mega,fr,Méga-Lockpin
lopunny-mega,it,MegaLopunny
lopunny-mega,de,Mega-Schlapor
lopunny-mega,es,Mega-Lopunny
lopunny-mega,ko,메가이어롭
lopunny-mega,zh-simp,超级长耳兔
lopunny-mega,zh-trad,超級長耳兔
garchomp-mega,jp-kana,メガガブリアス
garchomp-mega,jp-kanji,メガガブリアス
garchomp-mega,en,Mega Garchomp
garchomp-mega,fr,Méga-Carchacrok
garchomp-mega,it,MegaGarchomp
garchomp-mega,de,Mega-Knakrack
garchomp-mega,es,Mega-Garchomp
garchomp-mega,ko,메가한카리아스
garchomp-mega,zh-simp,超级烈咬陆鲨
garchomp-mega,zh-trad,超級烈咬陸鯊
lucario-mega,jp-kana,メガルカリオ
lucario-mega,jp-kanji,メガルカリオ
lucario-mega,en,Mega Lucario
lucario-mega,fr,Méga-Lucario
lucario-mega,it,MegaLucario
lucario-mega,de,Mega-Lucario
lucario-mega,es,Mega-Lucario
lucario-mega,ko,메가루카리오
lucario-mega,zh-simp,超级路卡利欧
lucario-mega,zh-trad,超級路卡利歐
abomasnow-mega,jp-kana,メガユキノオー
abomasnow-mega,jp-kanji,メガユキノオー
abomasnow-mega,en,Mega Abomasnow
abomasnow-mega,fr,Méga-Blizzaroi
abomasnow-mega,it,MegaAbomasnow
abomasnow-mega,de,Mega-Rexblisar
abomasnow-mega,es,Mega-Abomasnow
abomasnow-mega,ko,메가눈설왕
abomasnow-mega,zh-simp,超级暴雪王
abomasnow-mega,zh-trad,超級暴雪王
gallade-mega,jp-kana,メガエルレイド
gallade-mega,jp-kanji,メガエルレイド
gallade-mega,en,Mega Gallade
gallade-mega,fr,Méga-Gallame
gallade-mega,it,MegaGallade
gallade-mega,de,Mega-Galagladi
gallade-mega,es,Mega-Gallade
gallade-mega,ko,메가엘레이드
gallade-mega,zh-simp,超级艾路雷朵
gallade-mega,zh-trad,超級艾路雷朵
rotom,jp-kana,ロトムのすがた
rotom,jp-kanji,ロトムのすがた
rotom,en,Rotom
rotom,fr,Forme de Motisma
rotom,it,Forma Rotom
rotom,de,Rotom
rotom,es,Forma de Rotom
rotom,ko,로토무의 모습
rotom,zh-simp,洛托姆的样子
rotom,zh-trad,洛托姆的樣子
rotom-heat,jp-kana,ヒートロトム
rotom-heat,jp-kanji,ヒートロトム
rotom-heat,en,Heat Rotom
rotom-heat,fr,Motisma Chaleur
rotom-heat,it,Rotom Calore
rotom-heat,de,Hitze-Rotom
rotom-heat,es,Rotom Calor
rotom-heat,ko,히트로토무
rotom-heat,zh-simp,加热洛托姆
rotom-heat,zh-trad,加熱洛托姆
rotom-wash,jp-kana,ウォッシュロトム
rotom-wash,jp-kanji,ウォッシュロトム
rotom-wash,en,Wash Rotom
rotom-wash,fr,Motisma Lavage
rotom-wash,it,Rotom Lavaggio
rotom-wash,de,Wasch-Rotom
rotom-wash,es,Rotom Lavado
rotom-wash,ko,워시로토무
rotom-wash,zh-simp,清洗洛托姆
rotom-wash,zh-trad,清洗洛托姆
rotom-frost,jp-kana,フロストロトム
rotom-frost,jp-kanji,フロストロトム
rotom-frost,en,Frost Rotom
rotom-frost,fr,Motisma Froid
rotom-frost,it,Rotom Gelo
rotom-frost,de,Frost-Rotom
rotom-frost,es,Rotom Frío
rotom-frost,ko,프로스트로토무
rotom-frost,zh-simp,结冰洛托姆
rotom-frost,zh-trad,結冰洛托姆
rotom-fan,jp-kana,スピンロトム
rotom-fan,jp-kanji,スピンロトム
rotom-fan,en,Fan Rotom
rotom-fan,fr,Motisma Hélice
rotom-fan,it,Rotom Vortice
rotom-fan,de,Wirbel-Rotom
rotom-fan,es,Rotom Ventilador
rotom-fan,ko,스핀로토무
rotom-fan,zh-simp,旋转洛托姆
rotom-fan,zh-trad,旋轉洛托姆
rotom-mow,jp-kana,カットロトム
rotom-mow,jp-kanji,カットロトム
rotom-mow,en,Mow Rotom
rotom-mow,fr,Motisma Tonte
rotom-mow,it,Rotom Taglio
rotom-mow,de,Schneid-Rotom
rotom-mow,es,Rotom Corte
rotom-mow,ko,커트로토무
rotom-mow,zh-simp,切割洛托姆
rotom-mow,zh-trad,切割洛托姆
dialga-origin-forme,jp-kana,オリジンフォルム
dialga-origin-forme,jp-kanji,オリジンフォルム
dialga-origin-forme,en,Origin Forme
dialga-origin-forme,fr,Forme Originelle
dialga-origin-forme,it,Forma Originale
dialga-origin-forme,de,Urform
dialga-origin-forme,es,Forma Origen
dialga-origin-forme,ko,오리진폼
dialga-origin-forme,zh-simp,起源形态
dialga-origin-forme,zh-trad,起源形態
palkia-origin-forme,jp-kana,オリジンフォルム
palkia-origin-forme,jp-kanji,オリジンフォルム
palkia-origin-forme,en,Origin Forme
palkia-origin-forme,fr,Forme Originelle
palkia-origin-forme,it,Forma Originale
palkia-origin-forme,de,Urform
palkia-origin-forme,es,Forma Origen
palkia-origin-forme,ko,오리진폼
palkia-origin-forme,zh-simp,起源形态
palkia-origin-forme,zh-trad,起源形態
giratina-altered-forme,jp-kana,アナザーフォルム
giratina-altered-forme,jp-kanji,アナザーフォルム
giratina-altered-forme,en,Altered Forme
giratina-altered-forme,fr,Forme Alternative
giratina-altered-forme,it,Forma Alterata
giratina-altered-forme,de,Wandelform
giratina-altered-forme,es,Forma Modificada
giratina-altered-forme,ko,어나더폼
giratina-altered-forme,zh-simp,别种形态
giratina-altered-forme,zh-trad,別種形態
giratina-origin-forme,jp-kana,オリジンフォルム
giratina-origin-forme,jp-kanji,オリジンフォルム
giratina-origin-forme,en,Origin Forme
giratina-origin-forme,fr,Forme Originelle
giratina-origin-forme,it,Forma Originale
giratina-origin-forme,de,Urform
giratina-origin-forme,es,Forma Origen
giratina-origin-forme,ko,오리진폼
giratina-origin-forme,zh-simp,起源形态
giratina-origin-forme,zh-trad,起源形態
shaymin-land-forme,jp-kana,ランドフォルム
shaymin-land-forme,jp-kanji,ランドフォルム
shaymin-land-forme,en,Land Forme
shaymin-land-forme,fr,Forme Terrestre
shaymin-land-forme,it,Forma Terra
shaymin-land-forme,de,Landform
shaymin-land-forme,es,Forma Tierra
shaymin-land-forme,ko,랜드폼
shaymin-land-forme,zh-simp,陆上形态
shaymin-land-forme,zh-trad,陸上形態
shaymin-sky-forme,jp-kana,スカイフォルム
shaymin-sky-forme,jp-kanji,スカイフォルム
shaymin-sky-forme,en,Sky Forme
shaymin-sky-forme,fr,Forme Céleste
shaymin-sky-forme,it,Forma Cielo
shaymin-sky-forme,de,Zenitform
shaymin-sky-forme,es,Forma Cielo
shaymin-sky-forme,ko,스카이폼
shaymin-sky-forme,zh-simp,天空形态
shaymin-sky-forme,zh-trad,天空形態
arceus-normal-type,jp-kana,アルセウスのすがた
arceus-normal-type,jp-kanji,アルセウスのすがた
arceus-normal-type,en,Arceus
arceus-normal-type,fr,Forme d’Arceus
arceus-normal-type,it,Forma di Arceus
arceus-normal-type,de,Arceus
arceus-normal-type,es,Forma de Arceus
arceus-normal-type,ko,아르세우스의 모습
arceus-normal-type,zh-simp,阿尔宙斯的样子
arceus-normal-type,zh-trad,阿爾宙斯的樣子
arceus-fighting-type,jp-kana,アルセウスのすがた
arceus-fighting-type,jp-kanji,アルセウスのすがた
arceus-fighting-type,en,Arceus
arceus-fighting-type,fr,Forme d’Arceus
arceus-fighting-type,it,Forma di Arceus
arceus-fighting-type,de,Arceus
arceus-fighting-type,es,Forma de Arceus
arceus-fighting-type,ko,아르세우스의 모습
arceus-fighting-type,zh-simp,阿尔宙斯的样子
arceus-fighting-type,zh-trad,阿爾宙斯的樣子
arceus-flying-type,jp-kana,アルセウスのすがた
arceus-flying-type,jp-kanji,アルセウスのすがた
arceus-flying-type,en,Arceus
arceus-flying-type,fr,Forme d’Arceus
arceus-flying-type,it,Forma di Arceus
arceus-flying-type,de,Arceus
arceus-flying-type,es,Forma de Arceus
arceus-flying-type,ko,아르세우스의 모습
arceus-flying-type,zh-simp,阿尔宙斯的样子
arceus-flying-type,zh-trad,阿爾宙斯的樣子
arceus-poison-type,jp-kana,アルセウスのすがた
arceus-poison-type,jp-kanji,アルセウスのすがた
arceus-poison-type,en,Arceus
arceus-poison-type,fr,Forme d’Arceus
arceus-poison-type,it,Forma di Arceus
arceus-poison-type,de,Arceus
arceus-poison-type,es,Forma de Arceus
arceus-poison-type,ko,아르세우스의 모습
arceus-poison-type,zh-simp,阿尔宙斯的样子
arceus-poison-type,zh-trad,阿爾宙斯的樣子
arceus-ground-type,jp-kana,アルセウスのすがた
arceus-ground-type,jp-kanji,アルセウスのすがた
arceus-ground-type,en,Arceus
arceus-ground-type,fr,Forme d’Arceus
arceus-ground-type,it,Forma di Arceus
arceus-ground-type,de,Arceus
arceus-ground-type,es,Forma de Arceus
arceus-ground-type,ko,아르세우스의 모습
arceus-ground-type,zh-simp,阿尔宙斯的样子
arceus-ground-type,zh-trad,阿爾宙斯的樣子
arceus-rock-type,jp-kana,アルセウスのすがた
arceus-rock-type,jp-kanji,アルセウスのすがた
arceus-rock-type,en,Arceus
arceus-rock-type,fr,Forme d’Arceus
arceus-rock-type,it,Forma di Arceus
arceus-rock-type,de,Arceus
arceus-rock-type,es,Forma de Arceus
arceus-rock-type,ko,아르세우스의 모습
arceus-rock-type,zh-simp,阿尔宙斯的样子
arceus-rock-type,zh-trad,阿爾宙斯的樣子
arceus-bug-type,jp-kana,アルセウスのすがた
arceus-bug-type,jp-kanji,アルセウスのすがた
arceus-bug-type,en,Arceus
arceus-bug-type,fr,Forme d’Arceus
arceus-bug-type,it,Forma di Arceus
arceus-bug-type,de,Arceus
arceus-bug-type,es,Forma de Arceus
arceus-bug-type,ko,아르세우스의 모습
