id,identifier,category_id,cost,fling_power,fling_effect_id
975,ultranecrozium-z--bag,23,0,,
976,mimikium-z--bag,23,0,,
977,lycanium-z--bag,23,0,,
978,kommonium-z--bag,23,0,,
979,z-power-ring,23,0,,
980,pink-petal,23,0,,
981,orange-petal,23,0,,
982,blue-petal,23,0,,
983,red-petal,23,0,,
984,green-petal,23,0,,
985,yellow-petal,23,0,,
986,purple-petal,23,0,,
987,rainbow-flower,23,0,,
988,surge-badge,23,0,,
989,n-solarizer--merge,23,0,,
990,n-lunarizer--merge,23,0,,
991,n-solarizer--split,23,0,,
992,n-lunarizer--split,23,0,,
993,ilima-normalium-z,23,0,,
994,left-poke-ball,23,0,,
995,roto-hatch,23,0,,
996,roto-bargain,23,0,,
997,roto-prize-money,23,0,,
998,roto-exp-points,23,0,,
999,roto-friendship,23,0,,
1000,roto-encounter,23,0,,
1001,roto-stealth,23,0,,
1002,roto-hp-restore,23,0,,
1003,roto-pp-restore,23,0,,
1004,roto-boost,23,0,,
1005,roto-catch,23,0,,
1006,autograph,,0,,
1007,pokemon-box-link,,0,,
1008,medicine-pocket,,0,,
1009,candy-jar,,0,,
1010,power-up-pocket,,0,,
1011,clothing-trunk,,0,,
1012,catching-pocket,,0,,
1013,battle-pocket,,0,,
1014,silver-razz-berry,,1000,10,
1015,golden-razz-berry,,5000,10,
1016,silver-nanab-berry,,1000,10,
1017,golden-nanab-berry,,5000,10,
1018,silver-pinap-berry,,1000,10,
1019,golden-pinap-berry,,5000,10,
1020,secret-key,,0,,
1021,ss-ticket,,0,,
1022,parcel,,0,,
1023,card-key,,0,,
1024,stretchy-spring,,20,30,
1025,chalky-stone,,60,30,
1026,marble,,300,30,
1027,lone-earring,,600,30,
1028,beach-glass,,800,30,
1029,gold-leaf,,1000,30,
1030,silver-leaf,,1000,30,
1031,polished-mud-ball,,1200,30,
1032,tropical-shell,,2000,30,
1033,leaf-letter,,0,30,
1034,leaf-letter,,0,30,
1035,small-bouquet,,0,30,
1036,lure,,400,30,
1037,super-lure,,700,30,
1038,max-lure,,900,30,
1039,pewter-crunchies,,250,30,
1040,health-candy,,20,,
1041,mighty-candy,,20,,
1042,tough-candy,,20,,
1043,smart-candy,,20,,
1044,courage-candy,,20,,
1045,quick-candy,,20,,
1046,health-candy-l,,20,,
1047,mighty-candy-l,,20,,
1048,tough-candy-l,,20,,
1049,smart-candy-l,,20,,
1050,courage-candy-l,,20,,
1051,quick-candy-l,,20,,
1052,health-candy-xl,,20,,
1053,mighty-candy-xl,,20,,
1054,tough-candy-xl,,20,,
1055,smart-candy-xl,,20,,
1056,courage-candy-xl,,20,,
1057,quick-candy-xl,,20,,
1058,bulbasaur-candy,,20,,
1059,charmander-candy,,20,,
1060,squirtle-candy,,20,,
1061,caterpie-candy,,20,,
1062,weedle-candy,,20,,
1063,pidgey-candy,,20,,
1064,rattata-candy,,20,,
1065,spearow-candy,,20,,
1066,ekans-candy,,20,,
1067,pikachu-candy,,20,,
1068,sandshrew-candy,,20,,
1069,nidoran-f-candy,,20,,
1070,nidoran-m-candy,,20,,
1071,clefairy-candy,,20,,
1072,vulpix-candy,,20,,
1073,jigglypuff-candy,,20,,
1074,zubat-candy,,20,,
1075,oddish-candy,,20,,
1076,paras-candy,,20,,
1077,venonat-candy,,20,,
1078,diglett-candy,,20,,
1079,meowth-candy,,20,,
1080,psyduck-candy,,20,,
1081,mankey-candy,,20,,
1082,growlithe-candy,,20,,
1083,poliwag-candy,,20,,
1084,abra-candy,,20,,
1085,machop-candy,,20,,
1086,bellsprout-candy,,20,,
1087,tentacool-candy,,20,,
1088,geodude-candy,,20,,
1089,ponyta-candy,,20,,
1090,slowpoke-candy,,20,,
1091,magnemite-candy,,20,,
1092,farfetchd-candy,,20,,
1093,doduo-candy,,20,,
1094,seel-candy,,20,,
1095,grimer-candy,,20,,
1096,shellder-candy,,20,,
1097,gastly-candy,,20,,
1098,onix-candy,,20,,
1099,drowzee-candy,,20,,
1100,krabby-candy,,20,,
1101,voltorb-candy,,20,,
1102,exeggcute-candy,,20,,
1103,cubone-candy,,20,,
1104,hitmonlee-candy,,20,,
1105,hitmonchan-candy,,20,,
1106,lickitung-candy,,20,,
1107,koffing-candy,,20,,
1108,rhyhorn-candy,,20,,
1109,chansey-candy,,20,,
1110,tangela-candy,,20,,
1111,kangaskhan-candy,,20,,
1112,horsea-candy,,20,,
1113,goldeen-candy,,20,,
1114,staryu-candy,,20,,
1115,mr-mime-candy,,20,,
1116,scyther-candy,,20,,
1117,jynx-candy,,20,,
1118,electabuzz-candy,,20,,
1119,pinsir-candy,,20,,
1120,tauros-candy,,20,,
1121,magikarp-candy,,20,,
1122,lapras-candy,,20,,
1123,ditto-candy,,20,,
1124,eevee-candy,,20,,
1125,porygon-candy,,20,,
1126,omanyte-candy,,20,,
1127,kabuto-candy,,20,,
1128,aerodactyl-candy,,20,,
1129,snorlax-candy,,20,,
1130,articuno-candy,,20,,
1131,zapdos-candy,,20,,
1132,moltres-candy,,20,,
1133,dratini-candy,,20,,
1134,mewtwo-candy,,20,,
1135,mew-candy,,20,,
1136,meltan-candy,,20,,
1137,magmar-candy,,20,,
1138,endorsement,,0,,
1139,pokemon-box-link,,0,,
1140,wishing-star,,0,,
1141,dynamax-band,,0,,
1142,fishing-rod,,0,,
1143,rotom-bike,,0,,
1144,sausages,,400,10,
1145,bobs-food-tin,,950,80,
1146,bachs-food-tin,,950,80,
1147,tin-of-beans,,400,80,
1148,bread,,150,10,
1149,pasta,,150,10,
1150,mixed-mushrooms,,400,10,
1151,smoke-poke-tail,,2200,10,
1152,large-leek,,2200,20,
1153,fancy-apple,,2200,20,
1154,brittle-bones,,950,30,
1155,pack-of-potatoes,,400,10,
1156,pungent-root,,950,10,
1157,salad-mix,,400,10,
1158,fried-food,,150,10,
1159,boiled-egg,,2200,20,
1160,camping-gear,,0,,
1161,rusted-sword,,0,,
1162,rusted-shield,,0,,
1163,fossilized-bird,,5000,100,
1164,fossilized-fish,,5000,100,
1165,fossilized-drake,,5000,100,
1166,fossilized-dino,,5000,100,
1167,strawberry-sweet,,500,10,
1168,love-sweet,,500,10,
1169,berry-sweet,,500,10,
1170,clover-sweet,,500,10,
1171,flower-sweet,,500,10,
1172,star-sweet,,500,10,
1173,ribbon-sweet,,500,10,
1174,sweet-apple,,2200,30,
1175,tart-apple,,2200,30,
1176,throat-spray,,4000,30,
1177,eject-pack,,4000,50,
1178,heavy-duty-boots,,4000,80,
1179,blunder-policy,,4000,80,
1180,room-service,,4000,100,
1181,utility-umbrella,,4000,60,
1182,exp-candy-xs,,20,30,
1183,exp-candy-s,,240,30,
1184,exp-candy-m,,1000,30,
1185,exp-candy-l,,3000,30,
1186,exp-candy-xl,,10000,30,
1187,dynamax-candy,,0,30,
1188,tr00,,4000,10,
1189,tr01,,6000,85,
1190,tr02,,10000,90,
1191,tr03,,16000,110,
1192,tr04,,10000,90,
1193,tr05,,10000,90,
1194,tr06,,16000,110,
1195,tr07,,6000,10,
1196,tr08,,10000,90,
1197,tr09,,16000,110,
1198,tr10,,16000,100,
1199,tr11,,10000,90,
1200,tr12,,4000,10,
1201,tr13,,2000,10,
1202,tr14,,2000,10,
1203,tr15,,16000,110,
1204,tr16,,6000,80,
1205,tr17,,4000,10,
1206,tr18,,6000,80,
1207,tr19,,4000,80,
1208,tr20,,6000,10,
1209,tr21,,4000,10,
1210,tr22,,10000,90,
1211,tr23,,4000,10,
1212,tr24,,16000,120,
1213,tr25,,6000,80,
1214,tr26,,2000,10,
1215,tr27,,4000,10,
1216,tr28,,16000,120,
1217,tr29,,4000,10,
1218,tr30,,4000,10,
1219,tr31,,10000,100,
1220,tr32,,6000,80,
1221,tr33,,6000,80,
1222,tr34,,6000,120,
1223,tr35,,6000,90,
1224,tr36,,10000,95,
1225,tr37,,4000,10,
1226,tr38,,4000,10,
1227,tr39,,16000,120,
1228,tr40,,2000,10,
1229,tr41,,6000,85,
1230,tr42,,10000,90,
1231,tr43,,16000,130,
1232,tr44,,4000,10,
1233,tr45,,10000,90,
1234,tr46,,4000,10,
1235,tr47,,6000,80,
1236,tr48,,4000,10,
1237,tr49,,4000,10,
1238,tr50,,10000,90,
1239,tr51,,4000,10,
1240,tr52,,6000,10,
1241,tr53,,16000,120,
1242,tr54,,4000,10,
1243,tr55,,16000,120,
1244,tr56,,6000,80,
1245,tr57,,6000,80,
1246,tr58,,6000,80,
1247,tr59,,6000,80,
1248,tr60,,6000,80,
1249,tr61,,10000,90,
1250,tr62,,6000,85,
1251,tr63,,6000,80,
1252,tr64,,16000,120,
1253,tr65,,10000,90,
1254,tr66,,16000,120,
1255,tr67,,10000,90,
1256,tr68,,4000,10,
1257,tr69,,6000,80,
1258,tr70,,10000,80,
1259,tr71,,16000,130,
1260,tr72,,16000,120,
1261,tr73,,16000,120,
1262,tr74,,10000,80,
1263,tr75,,16000,100,
1264,tr76,,6000,10,
1265,tr77,,6000,10,
1266,tr78,,10000,95,
1267,tr79,,6000,10,
1268,tr80,,6000,10,
1269,tr81,,6000,95,
1270,tr82,,4000,20,
1271,tr83,,4000,10,
1272,tr84,,6000,80,
1273,tr85,,2000,10,
1274,tr86,,10000,90,
1275,tr87,,6000,80,
1276,tr88,,6000,10,
1277,tr89,,16000,110,
1278,tr90,,10000,90,
1279,tr91,,4000,10,
1280,tr92,,6000,80,
1281,tr93,,10000,85,
1282,tr94,,10000,95,
1283,tr95,,6000,80,
1284,tr96,,10000,90,
1285,tr97,,10000,85,
1286,tr98,,6000,85,
1287,tr99,,6000,80,
1288,tm00,,10000,,
1289,lonely-mint,,20,10,
1290,adamant-mint,,20,10,
1291,naughty-mint,,20,10,
1292,brave-mint,,20,10,
1293,bold-mint,,20,10,
1294,impish-mint,,20,10,
1295,lax-mint,,20,10,
1296,relaxed-mint,,20,10,
1297,modest-mint,,20,10,
1298,mild-mint,,20,10,
1299,rash-mint,,20,10,
1300,quiet-mint,,20,10,
1301,calm-mint,,20,10,
1302,gentle-mint,,20,10,
1303,careful-mint,,20,10,
1304,sassy-mint,,20,10,
1305,timid-mint,,20,10,
1306,hasty-mint,,20,10,
1307,jolly-mint,,20,10,
1308,naive-mint,,20,10,
1309,serious-mint,,20,10,
1310,wishing-piece,,20,50,
1311,cracked-pot,,1600,80,
1312,chipped-pot,,38000,80,
1313,hi-tech-earbuds,,0,,
1314,fruit-bunch,,2200,10,
1315,moomoo-cheese,,2200,20,
1316,spice-mix,,400,50,
1317,fresh-cream,,950,10,
1318,packaged-curry,,950,10,
1319,coconut-milk,,950,10,
1320,instant-noodles,,150,10,
1321,precooked-burger,,150,10,
1322,gigantamix,,15000,50,
1323,wishing-chip,,0,,
1324,rotom-bike,,0,,
1325,catching-charm,,0,,
1326,old-letter,,0,,
1327,band-autograph,,0,,
1328,sonias-book,,0,,
1329,rotom-catalog,,0,,
1330,★and458,,20,,
1331,★and15,,20,,
1332,★and337,,20,,
1333,★and603,,20,,
1334,★and390,,20,,
1335,★sgr6879,,20,,
1336,★sgr6859,,20,,
1337,★sgr6913,,20,,
1338,★sgr7348,,20,,
1339,★sgr7121,,20,,
1340,★sgr6746,,20,,
1341,★sgr7194,,20,,
1342,★sgr7337,,20,,
1343,★sgr7343,,20,,
1344,★sgr6812,,20,,
1345,★sgr7116,,20,,
1346,★sgr7264,,20,,
1347,★sgr7597,,20,,
1348,★del7882,,20,,
1349,★del7906,,20,,
1350,★del7852,,20,,
1351,★psc596,,20,,
1352,★psc361,,20,,
1353,★psc510,,20,,
1354,★psc437,,20,,
1355,★psc8773,,20,,
1356,★lep1865,,20,,
1357,★lep1829,,20,,
1358,★boo5340,,20,,
1359,★boo5506,,20,,
1360,★boo5435,,20,,
1361,★boo5602,,20,,
1362,★boo5733,,20,,
1363,★boo5235,,20,,
1364,★boo5351,,20,,
1365,★hya3748,,20,,
1366,★hya3903,,20,,
1367,★hya3418,,20,,
1368,★hya3482,,20,,
1369,★hya3845,,20,,
1370,★eri1084,,20,,
1371,★eri472,,20,,
1372,★eri1666,,20,,
1373,★eri897,,20,,
1374,★eri1231,,20,,
1375,★eri874,,20,,
1376,★eri1298,,20,,
1377,★eri1325,,20,,
1378,★eri984,,20,,
1379,★eri1464,,20,,
1380,★eri1393,,20,,
1381,★eri850,,20,,
1382,★tau1409,,20,,
1383,★tau1457,,20,,
1384,★tau1165,,20,,
1385,★tau1791,,20,,
1386,★tau1910,,20,,
1387,★tau1346,,20,,
1388,★tau1373,,20,,
1389,★tau1412,,20,,
1390,★cma2491,,20,,
1391,★cma2693,,20,,
1392,★cma2294,,20,,
1393,★cma2827,,20,,
1394,★cma2282,,20,,
1395,★cma2618,,20,,
1396,★cma2657,,20,,
1397,★cma2646,,20,,
1398,★uma4905,,20,,
1399,★uma4301,,20,,
1400,★uma5191,,20,,
1401,★uma5054,,20,,
1402,★uma4295,,20,,
1403,★uma4660,,20,,
1404,★uma4554,,20,,
1405,★uma4069,,20,,
1406,★uma3569,,20,,
1407,★uma3323,,20,,
1408,★uma4033,,20,,
1409,★uma4377,,20,,
1410,★uma4375,,20,,
1411,★uma4518,,20,,
1412,★uma3594,,20,,
1413,★vir5056,,20,,
1414,★vir4825,,20,,
1415,★vir4932,,20,,
1416,★vir4540,,20,,
1417,★vir4689,,20,,
1418,★vir5338,,20,,
1419,★vir4910,,20,,
1420,★vir5315,,20,,
1421,★vir5359,,20,,
1422,★vir5409,,20,,
1423,★vir5107,,20,,
1424,★ari617,,20,,
1425,★ari553,,20,,
1426,★ari546,,20,,
1427,★ari951,,20,,
1428,★ori1713,,20,,
1429,★ori2061,,20,,
1430,★ori1790,,20,,
1431,★ori1903,,20,,
1432,★ori1948,,20,,
1433,★ori2004,,20,,
1434,★ori1852,,20,,
1435,★ori1879,,20,,
1436,★ori1899,,20,,
1437,★ori1543,,20,,
1438,★cas21,,20,,
1439,★cas168,,20,,
1440,★cas403,,20,,
1441,★cas153,,20,,
1442,★cas542,,20,,
1443,★cas219,,20,,
1444,★cas265,,20,,
1445,★cnc3572,,20,,
1446,★cnc3208,,20,,
1447,★cnc3461,,20,,
1448,★cnc3449,,20,,
1449,★cnc3429,,20,,
1450,★cnc3627,,20,,
1451,★cnc3268,,20,,
1452,★cnc3249,,20,,
1453,★com4968,,20,,
1454,★crv4757,,20,,
1455,★crv4623,,20,,
1456,★crv4662,,20,,
1457,★crv4786,,20,,
1458,★aur1708,,20,,
1459,★aur2088,,20,,
1460,★aur1605,,20,,
1461,★aur2095,,20,,
1462,★aur1577,,20,,
1463,★aur1641,,20,,
1464,★aur1612,,20,,
1465,★pav7790,,20,,
1466,★cet911,,20,,
1467,★cet681,,20,,
1468,★cet188,,20,,
1469,★cet539,,20,,
1470,★cet804,,20,,
1471,★cep8974,,20,,
1472,★cep8162,,20,,
1473,★cep8238,,20,,
1474,★cep8417,,20,,
1475,★cen5267,,20,,
1476,★cen5288,,20,,
1477,★cen551,,20,,
1478,★cen5459,,20,,
1479,★cen5460,,20,,
1480,★cmi2943,,20,,
1481,★cmi2845,,20,,
1482,★equ8131,,20,,
1483,★vul7405,,20,,
1484,★umi424,,20,,
1485,★umi5563,,20,,
1486,★umi5735,,20,,
1487,★umi6789,,20,,
1488,★crt4287,,20,,
1489,★lyr7001,,20,,
1490,★lyr7178,,20,,
1491,★lyr7106,,20,,
1492,★lyr7298,,20,,
1493,★ara6585,,20,,
1494,★sco6134,,20,,
1495,★sco6527,,20,,
1496,★sco6553,,20,,
1497,★sco5953,,20,,
1498,★sco5984,,20,,
1499,★sco6508,,20,,
1500,★sco6084,,20,,
1501,★sco5944,,20,,
1502,★sco6630,,20,,
1503,★sco6027,,20,,
1504,★sco6247,,20,,
1505,★sco6252,,20,,
1506,★sco5928,,20,,
1507,★sco6241,,20,,
1508,★sco6165,,20,,
1509,★tri544,,20,,
1510,★leo3982,,20,,
1511,★leo4534,,20,,
1512,★leo4357,,20,,
1513,★leo4057,,20,,
1514,★leo4359,,20,,
1515,★leo4031,,20,,
1516,★leo3852,,20,,
1517,★leo3905,,20,,
1518,★leo3773,,20,,
1519,★gru8425,,20,,
1520,★gru8636,,20,,
1521,★gru8353,,20,,
1522,★lib5685,,20,,
1523,★lib5531,,20,,
1524,★lib5787,,20,,
1525,★lib5603,,20,,
1526,★pup3165,,20,,
1527,★pup3185,,20,,
1528,★pup3045,,20,,
1529,★cyg7924,,20,,
1530,★cyg7417,,20,,
1531,★cyg7796,,20,,
1532,★cyg8301,,20,,
1533,★cyg7949,,20,,
1534,★cyg7528,,20,,
1535,★oct7228,,20,,
1536,★col1956,,20,,
1537,★col2040,,20,,
1538,★col2177,,20,,
1539,★gem2990,,20,,
1540,★gem2891,,20,,
1541,★gem2421,,20,,
1542,★gem2473,,20,,
1543,★gem2216,,20,,
1544,★gem2777,,20,,
1545,★gem2650,,20,,
1546,★gem2286,,20,,
1547,★gem2484,,20,,
1548,★gem2930,,20,,
1549,★peg8775,,20,,
1550,★peg8781,,20,,
1551,★peg39,,20,,
1552,★peg8308,,20,,
1553,★peg8650,,20,,
1554,★peg8634,,20,,
1555,★peg8684,,20,,
1556,★peg8450,,20,,
1557,★peg8880,,20,,
1558,★peg8905,,20,,
1559,★oph6556,,20,,
1560,★oph6378,,20,,
1561,★oph6603,,20,,
1562,★oph6149,,20,,
1563,★oph6056,,20,,
1564,★oph6075,,20,,
1565,★ser5854,,20,,
1566,★ser7141,,20,,
1567,★ser5879,,20,,
1568,★her6406,,20,,
1569,★her6148,,20,,
1570,★her6410,,20,,
1571,★her6526,,20,,
1572,★her6117,,20,,
1573,★her6008,,20,,
1574,★per936,,20,,
1575,★per1017,,20,,
1576,★per1131,,20,,
1577,★per1228,,20,,
1578,★per834,,20,,
1579,★per941,,20,,
1580,★phe99,,20,,
1581,★phe338,,20,,
1582,★vel3634,,20,,
1583,★vel3485,,20,,
1584,★vel3734,,20,,
1585,★aqr8232,,20,,
1586,★aqr8414,,20,,
1587,★aqr8709,,20,,
1588,★aqr8518,,20,,
1589,★aqr7950,,20,,
1590,★aqr8499,,20,,
1591,★aqr8610,,20,,
1592,★aqr8264,,20,,
1593,★cru4853,,20,,
1594,★cru4730,,20,,
1595,★cru4763,,20,,
1596,★cru4700,,20,,
1597,★cru4656,,20,,
1598,★psa8728,,20,,
1599,★tra6217,,20,,
1600,★cap7776,,20,,
1601,★cap7754,,20,,
1602,★cap8278,,20,,
1603,★cap8322,,20,,
1604,★cap7773,,20,,
1605,★sge7479,,20,,
1606,★car2326,,20,,
1607,★car3685,,20,,
1608,★car3307,,20,,
1609,★car3699,,20,,
1610,★dra5744,,20,,
1611,★dra5291,,20,,
1612,★dra6705,,20,,
1613,★dra6536,,20,,
1614,★dra7310,,20,,
1615,★dra6688,,20,,
1616,★dra4434,,20,,
1617,★dra6370,,20,,
1618,★dra7462,,20,,
1619,★dra6396,,20,,
1620,★dra6132,,20,,
1621,★dra6636,,20,,
1622,★cvn4915,,20,,
1623,★cvn4785,,20,,
1624,★cvn4846,,20,,
1625,★aql7595,,20,,
1626,★aql7557,,20,,
1627,★aql7525,,20,,
1628,★aql7602,,20,,
1629,★aql7235,,20,,
1630,max-honey,,4000,30,
1631,max-mushrooms,,6000,30,
1632,galarica-twig,,20,30,
1633,galarica-cuff,,3000,30,
1634,style-card,,0,,
1635,armor-pass,,0,,
1636,rotom-bike,,0,,
1637,rotom-bike,,0,,
1638,exp-charm,,0,,
1639,armorite-ore,,20,30,
1640,mark-charm,,0,,
1641,reins-of-unity,,0,,
1642,reins-of-unity,,0,,
1643,galarica-wreath,,3000,30,
1644,legendary-clue-1,,0,,
1645,legendary-clue-2,,0,,
1646,legendary-clue-3,,0,,
1647,legendary-clue?,,0,,
1648,crown-pass,,0,,
1649,wooden-crown,,0,,
1650,radiant-petal,,0,,
1651,white-mane-hair,,0,,
1652,black-mane-hair,,0,,
1653,iceroot-carrot,,0,,
1654,shaderoot-carrot,,0,,
1655,dynite-ore,,20,30,
1656,carrot-seeds,,20,,
1657,ability-patch,,20,,
1658,reins-of-unity,,0,,
