pokemon_identifier,stat_identifier,value
swampert-mega,sp-atk,95
swampert-mega,sp-def,110
swampert-mega,speed,70
poochyena,hp,35
poochyena,attack,55
poochyena,defense,35
poochyena,sp-atk,30
poochyena,sp-def,30
poochyena,speed,35
mightyena,hp,70
mightyena,attack,90
mightyena,defense,70
mightyena,sp-atk,60
mightyena,sp-def,60
mightyena,speed,70
zigzagoon,hp,38
zigzagoon,attack,30
zigzagoon,defense,41
zigzagoon,sp-atk,30
zigzagoon,sp-def,41
zigzagoon,speed,60
zigzagoon-galarian-form,hp,38
zigzagoon-galarian-form,attack,30
zigzagoon-galarian-form,defense,41
zigzagoon-galarian-form,sp-atk,30
zigzagoon-galarian-form,sp-def,41
zigzagoon-galarian-form,speed,60
linoone,hp,78
linoone,attack,70
linoone,defense,61
linoone,sp-atk,50
linoone,sp-def,61
linoone,speed,100
linoone-galarian-form,hp,78
linoone-galarian-form,attack,70
linoone-galarian-form,defense,61
linoone-galarian-form,sp-atk,50
linoone-galarian-form,sp-def,61
linoone-galarian-form,speed,100
wurmple,hp,45
wurmple,attack,45
wurmple,defense,35
wurmple,sp-atk,20
wurmple,sp-def,30
wurmple,speed,20
silcoon,hp,50
silcoon,attack,35
silcoon,defense,55
silcoon,sp-atk,25
silcoon,sp-def,25
silcoon,speed,15
beautifly,hp,60
beautifly,attack,70
beautifly,defense,50
beautifly,sp-atk,100
beautifly,sp-def,50
beautifly,speed,65
cascoon,hp,50
cascoon,attack,35
cascoon,defense,55
cascoon,sp-atk,25
cascoon,sp-def,25
cascoon,speed,15
dustox,hp,60
dustox,attack,50
dustox,defense,70
dustox,sp-atk,50
dustox,sp-def,90
dustox,speed,65
lotad,hp,40
lotad,attack,30
lotad,defense,30
lotad,sp-atk,40
lotad,sp-def,50
lotad,speed,30
lombre,hp,60
lombre,attack,50
lombre,defense,50
lombre,sp-atk,60
lombre,sp-def,70
lombre,speed,50
ludicolo,hp,80
ludicolo,attack,70
ludicolo,defense,70
ludicolo,sp-atk,90
ludicolo,sp-def,100
ludicolo,speed,70
seedot,hp,40
seedot,attack,40
seedot,defense,50
seedot,sp-atk,30
seedot,sp-def,30
seedot,speed,30
nuzleaf,hp,70
nuzleaf,attack,70
nuzleaf,defense,40
nuzleaf,sp-atk,60
nuzleaf,sp-def,40
nuzleaf,speed,60
shiftry,hp,90
shiftry,attack,100
shiftry,defense,60
shiftry,sp-atk,90
shiftry,sp-def,60
shiftry,speed,80
taillow,hp,40
taillow,attack,55
taillow,defense,30
taillow,sp-atk,30
taillow,sp-def,30
taillow,speed,85
swellow,hp,60
swellow,attack,85
swellow,defense,60
swellow,sp-atk,75
swellow,sp-def,50
swellow,speed,125
wingull,hp,40
wingull,attack,30
wingull,defense,30
wingull,sp-atk,55
wingull,sp-def,30
wingull,speed,85
pelipper,hp,60
pelipper,attack,50
pelipper,defense,100
pelipper,sp-atk,95
pelipper,sp-def,70
pelipper,speed,65
ralts,hp,28
ralts,attack,25
ralts,defense,25
ralts,sp-atk,45
ralts,sp-def,35
ralts,speed,40
kirlia,hp,38
kirlia,attack,35
kirlia,defense,35
kirlia,sp-atk,65
kirlia,sp-def,55
kirlia,speed,50
gardevoir,hp,68
gardevoir,attack,65
gardevoir,defense,65
gardevoir,sp-atk,125
gardevoir,sp-def,115
gardevoir,speed,80
gardevoir-mega,hp,68
gardevoir-mega,attack,85
gardevoir-mega,defense,65
gardevoir-mega,sp-atk,165
gardevoir-mega,sp-def,135
gardevoir-mega,speed,100
surskit,hp,40
surskit,attack,30
surskit,defense,32
surskit,sp-atk,50
surskit,sp-def,52
surskit,speed,65
masquerain,hp,70
masquerain,attack,60
masquerain,defense,62
masquerain,sp-atk,100
masquerain,sp-def,82
masquerain,speed,80
shroomish,hp,60
shroomish,attack,40
shroomish,defense,60
shroomish,sp-atk,40
shroomish,sp-def,60
shroomish,speed,35
breloom,hp,60
breloom,attack,130
breloom,defense,80
breloom,sp-atk,60
breloom,sp-def,60
breloom,speed,70
slakoth,hp,60
slakoth,attack,60
slakoth,defense,60
slakoth,sp-atk,35
slakoth,sp-def,35
slakoth,speed,30
vigoroth,hp,80
vigoroth,attack,80
vigoroth,defense,80
vigoroth,sp-atk,55
vigoroth,sp-def,55
vigoroth,speed,90
slaking,hp,150
slaking,attack,160
slaking,defense,100
slaking,sp-atk,95
slaking,sp-def,65
slaking,speed,100
nincada,hp,31
nincada,attack,45
nincada,defense,90
nincada,sp-atk,30
nincada,sp-def,30
nincada,speed,40
ninjask,hp,61
ninjask,attack,90
ninjask,defense,45
ninjask,sp-atk,50
ninjask,sp-def,50
ninjask,speed,160
shedinja,hp,1
shedinja,attack,90
shedinja,defense,45
shedinja,sp-atk,30
shedinja,sp-def,30
shedinja,speed,40
whismur,hp,64
whismur,attack,51
whismur,defense,23
whismur,sp-atk,51
whismur,sp-def,23
whismur,speed,28
loudred,hp,84
loudred,attack,71
loudred,defense,43
loudred,sp-atk,71
loudred,sp-def,43
loudred,speed,48
exploud,hp,104
exploud,attack,91
exploud,defense,63
exploud,sp-atk,91
exploud,sp-def,73
exploud,speed,68
makuhita,hp,72
makuhita,attack,60
makuhita,defense,30
makuhita,sp-atk,20
makuhita,sp-def,30
makuhita,speed,25
hariyama,hp,144
hariyama,attack,120
hariyama,defense,60
hariyama,sp-atk,40
hariyama,sp-def,60
hariyama,speed,50
azurill,hp,50
azurill,attack,20
azurill,defense,40
azurill,sp-atk,20
azurill,sp-def,40
azurill,speed,20
nosepass,hp,30
nosepass,attack,45
nosepass,defense,135
nosepass,sp-atk,45
nosepass,sp-def,90
nosepass,speed,30
skitty,hp,50
skitty,attack,45
skitty,defense,45
skitty,sp-atk,35
skitty,sp-def,35
skitty,speed,50
delcatty,hp,70
delcatty,attack,65
delcatty,defense,65
delcatty,sp-atk,55
delcatty,sp-def,55
delcatty,speed,90
sableye,hp,50
sableye,attack,75
sableye,defense,75
sableye,sp-atk,65
sableye,sp-def,65
sableye,speed,50
sableye-mega,hp,50
sableye-mega,attack,85
sableye-mega,defense,125
sableye-mega,sp-atk,85
sableye-mega,sp-def,115
sableye-mega,speed,20
mawile,hp,50
mawile,attack,85
mawile,defense,85
mawile,sp-atk,55
mawile,sp-def,55
mawile,speed,50
mawile-mega,hp,50
mawile-mega,attack,105
mawile-mega,defense,125
mawile-mega,sp-atk,55
mawile-mega,sp-def,95
mawile-mega,speed,50
aron,hp,50
aron,attack,70
aron,defense,100
aron,sp-atk,40
aron,sp-def,40
aron,speed,30
lairon,hp,60
lairon,attack,90
lairon,defense,140
lairon,sp-atk,50
lairon,sp-def,50
lairon,speed,40
aggron,hp,70
aggron,attack,110
aggron,defense,180
aggron,sp-atk,60
aggron,sp-def,60
aggron,speed,50
aggron-mega,hp,70
aggron-mega,attack,140
aggron-mega,defense,230
aggron-mega,sp-atk,60
aggron-mega,sp-def,80
aggron-mega,speed,50
meditite,hp,30
meditite,attack,40
meditite,defense,55
meditite,sp-atk,40
meditite,sp-def,55
meditite,speed,60
medicham,hp,60
medicham,attack,60
medicham,defense,75
medicham,sp-atk,60
medicham,sp-def,75
medicham,speed,80
medicham-mega,hp,60
medicham-mega,attack,100
medicham-mega,defense,85
medicham-mega,sp-atk,80
medicham-mega,sp-def,85
medicham-mega,speed,100
electrike,hp,40
electrike,attack,45
electrike,defense,40
electrike,sp-atk,65
electrike,sp-def,40
electrike,speed,65
manectric,hp,70
manectric,attack,75
manectric,defense,60
manectric,sp-atk,105
manectric,sp-def,60
manectric,speed,105
manectric-mega,hp,70
manectric-mega,attack,75
manectric-mega,defense,80
manectric-mega,sp-atk,135
manectric-mega,sp-def,80
manectric-mega,speed,135
plusle,hp,60
plusle,attack,50
plusle,defense,40
plusle,sp-atk,85
plusle,sp-def,75
plusle,speed,95
minun,hp,60
minun,attack,40
minun,defense,50
minun,sp-atk,75
minun,sp-def,85
minun,speed,95
volbeat,hp,65
volbeat,attack,73
volbeat,defense,75
volbeat,sp-atk,47
volbeat,sp-def,85
volbeat,speed,85
illumise,hp,65
illumise,attack,47
illumise,defense,75
illumise,sp-atk,73
illumise,sp-def,85
illumise,speed,85
roselia,hp,50
roselia,attack,60
roselia,defense,45
roselia,sp-atk,100
roselia,sp-def,80
roselia,speed,65
gulpin,hp,70
gulpin,attack,43
gulpin,defense,53
gulpin,sp-atk,43
gulpin,sp-def,53
gulpin,speed,40
swalot,hp,100
swalot,attack,73
swalot,defense,83
swalot,sp-atk,73
swalot,sp-def,83
swalot,speed,55
carvanha,hp,45
carvanha,attack,90
carvanha,defense,20
carvanha,sp-atk,65
carvanha,sp-def,20
carvanha,speed,65
sharpedo,hp,70
sharpedo,attack,120
sharpedo,defense,40
sharpedo,sp-atk,95
sharpedo,sp-def,40
sharpedo,speed,95
sharpedo-mega,hp,70
sharpedo-mega,attack,140
sharpedo-mega,defense,70
sharpedo-mega,sp-atk,110
sharpedo-mega,sp-def,65
sharpedo-mega,speed,105
wailmer,hp,130
wailmer,attack,70
wailmer,defense,35
wailmer,sp-atk,70
wailmer,sp-def,35
wailmer,speed,60
wailord,hp,170
wailord,attack,90
wailord,defense,45
wailord,sp-atk,90
wailord,sp-def,45
wailord,speed,60
numel,hp,60
numel,attack,60
numel,defense,40
numel,sp-atk,65
numel,sp-def,45
numel,speed,35
camerupt,hp,70
camerupt,attack,100
camerupt,defense,70
camerupt,sp-atk,105
camerupt,sp-def,75
camerupt,speed,40
camerupt-mega,hp,70
camerupt-mega,attack,120
camerupt-mega,defense,100
camerupt-mega,sp-atk,145
camerupt-mega,sp-def,105
camerupt-mega,speed,20
torkoal,hp,70
torkoal,attack,85
torkoal,defense,140
torkoal,sp-atk,85
torkoal,sp-def,70
torkoal,speed,20
spoink,hp,60
spoink,attack,25
spoink,defense,35
spoink,sp-atk,70
spoink,sp-def,80
spoink,speed,60
grumpig,hp,80
grumpig,attack,45
grumpig,defense,65
grumpig,sp-atk,90
grumpig,sp-def,110
grumpig,speed,80
spinda,hp,60
spinda,attack,60
spinda,defense,60
spinda,sp-atk,60
spinda,sp-def,60
spinda,speed,60
trapinch,hp,45
trapinch,attack,100
trapinch,defense,45
trapinch,sp-atk,45
trapinch,sp-def,45
trapinch,speed,10
vibrava,hp,50
vibrava,attack,70
vibrava,defense,50
vibrava,sp-atk,50
vibrava,sp-def,50
vibrava,speed,70
flygon,hp,80
flygon,attack,100
flygon,defense,80
flygon,sp-atk,80
flygon,sp-def,80
flygon,speed,100
cacnea,hp,50
cacnea,attack,85
cacnea,defense,40
cacnea,sp-atk,85
cacnea,sp-def,40
cacnea,speed,35
cacturne,hp,70
cacturne,attack,115
cacturne,defense,60
cacturne,sp-atk,115
cacturne,sp-def,60
cacturne,speed,55
swablu,hp,45
swablu,attack,40
swablu,defense,60
swablu,sp-atk,40
swablu,sp-def,75
swablu,speed,50
altaria,hp,75
altaria,attack,70
altaria,defense,90
altaria,sp-atk,70
altaria,sp-def,105
altaria,speed,80
altaria-mega,hp,75
altaria-mega,attack,110
altaria-mega,defense,110
altaria-mega,sp-atk,110
altaria-mega,sp-def,105
altaria-mega,speed,80
zangoose,hp,73
zangoose,attack,115
zangoose,defense,60
zangoose,sp-atk,60
zangoose,sp-def,60
zangoose,speed,90
seviper,hp,73
seviper,attack,100
seviper,defense,60
seviper,sp-atk,100
seviper,sp-def,60
seviper,speed,65
lunatone,hp,90
lunatone,attack,55
lunatone,defense,65
lunatone,sp-atk,95
lunatone,sp-def,85
lunatone,speed,70
solrock,hp,90
solrock,attack,95
solrock,defense,85
solrock,sp-atk,55
solrock,sp-def,65
solrock,speed,70
barboach,hp,50
barboach,attack,48
barboach,defense,43
barboach,sp-atk,46
barboach,sp-def,41
barboach,speed,60
whiscash,hp,110
whiscash,attack,78
whiscash,defense,73
whiscash,sp-atk,76
whiscash,sp-def,71
whiscash,speed,60
corphish,hp,43
corphish,attack,80
corphish,defense,65
corphish,sp-atk,50
corphish,sp-def,35
corphish,speed,35
crawdaunt,hp,63
crawdaunt,attack,120
crawdaunt,defense,85
crawdaunt,sp-atk,90
crawdaunt,sp-def,55
crawdaunt,speed,55
baltoy,hp,40
baltoy,attack,40
baltoy,defense,55
baltoy,sp-atk,40
baltoy,sp-def,70
baltoy,speed,55
claydol,hp,60
claydol,attack,70
claydol,defense,105
claydol,sp-atk,70
claydol,sp-def,120
claydol,speed,75
lileep,hp,66
lileep,attack,41
lileep,defense,77
lileep,sp-atk,61
lileep,sp-def,87
lileep,speed,23
cradily,hp,86
cradily,attack,81
cradily,defense,97
cradily,sp-atk,81
cradily,sp-def,107
cradily,speed,43
anorith,hp,45
anorith,attack,95
anorith,defense,50
anorith,sp-atk,40
anorith,sp-def,50
anorith,speed,75
armaldo,hp,75
armaldo,attack,125
armaldo,defense,100
armaldo,sp-atk,70
armaldo,sp-def,80
armaldo,speed,45
feebas,hp,20
feebas,attack,15
feebas,defense,20
feebas,sp-atk,10
feebas,sp-def,55
feebas,speed,80
milotic,hp,95
milotic,attack,60
milotic,defense,79
milotic,sp-atk,100
milotic,sp-def,125
milotic,speed,81
castform-normal,hp,70
castform-normal,attack,70
castform-normal,defense,70
castform-normal,sp-atk,70
castform-normal,sp-def,70
castform-normal,speed,70
castform-sunny-form,hp,70
castform-sunny-form,attack,70
castform-sunny-form,defense,70
castform-sunny-form,sp-atk,70
castform-sunny-form,sp-def,70
castform-sunny-form,speed,70
castform-rainy-form,hp,70
castform-rainy-form,attack,70
castform-rainy-form,defense,70
castform-rainy-form,sp-atk,70
castform-rainy-form,sp-def,70
castform-rainy-form,speed,70
castform-snowy-form,hp,70
castform-snowy-form,attack,70
castform-snowy-form,defense,70
castform-snowy-form,sp-atk,70
castform-snowy-form,sp-def,70
castform-snowy-form,speed,70
kecleon,hp,60
kecleon,attack,90
kecleon,defense,70
kecleon,sp-atk,60
kecleon,sp-def,120
kecleon,speed,40
shuppet,hp,44
shuppet,attack,75
shuppet,defense,35
shuppet,sp-atk,63
shuppet,sp-def,33
shuppet,speed,45
banette,hp,64
banette,attack,115
banette,defense,65
banette,sp-atk,83
banette,sp-def,63
banette,speed,65
banette-mega,hp,64
banette-mega,attack,165
banette-mega,defense,75
banette-mega,sp-atk,93
banette-mega,sp-def,83
banette-mega,speed,75
duskull,hp,20
duskull,attack,40
duskull,defense,90
duskull,sp-atk,30
duskull,sp-def,90
duskull,speed,25
dusclops,hp,40
dusclops,attack,70
dusclops,defense,130
dusclops,sp-atk,60
dusclops,sp-def,130
dusclops,speed,25
tropius,hp,99
tropius,attack,68
tropius,defense,83
tropius,sp-atk,72
tropius,sp-def,87
tropius,speed,51
chimecho,hp,75
chimecho,attack,50
chimecho,defense,80
chimecho,sp-atk,95
chimecho,sp-def,90
chimecho,speed,65
absol,hp,65
absol,attack,130
absol,defense,60
absol,sp-atk,75
absol,sp-def,60
absol,speed,75
absol-mega,hp,65
absol-mega,attack,150
absol-mega,defense,60
absol-mega,sp-atk,115
absol-mega,sp-def,60
absol-mega,speed,115
wynaut,hp,95
wynaut,attack,23
wynaut,defense,48
wynaut,sp-atk,23
wynaut,sp-def,48
wynaut,speed,23
snorunt,hp,50
snorunt,attack,50
snorunt,defense,50
snorunt,sp-atk,50
snorunt,sp-def,50
snorunt,speed,50
glalie,hp,80
glalie,attack,80
glalie,defense,80
glalie,sp-atk,80
glalie,sp-def,80
glalie,speed,80
glalie-mega,hp,80
glalie-mega,attack,120
glalie-mega,defense,80
glalie-mega,sp-atk,120
glalie-mega,sp-def,80
glalie-mega,speed,100
spheal,hp,70
spheal,attack,40
spheal,defense,50
spheal,sp-atk,55
spheal,sp-def,50
spheal,speed,25
sealeo,hp,90
sealeo,attack,60
sealeo,defense,70
sealeo,sp-atk,75
sealeo,sp-def,70
sealeo,speed,45
walrein,hp,110
walrein,attack,80
walrein,defense,90
walrein,sp-atk,95
walrein,sp-def,90
walrein,speed,65
clamperl,hp,35
clamperl,attack,64
clamperl,defense,85
clamperl,sp-atk,74
clamperl,sp-def,55
clamperl,speed,32
huntail,hp,55
huntail,attack,104
huntail,defense,105
huntail,sp-atk,94
huntail,sp-def,75
huntail,speed,52
gorebyss,hp,55
gorebyss,attack,84
gorebyss,defense,105
gorebyss,sp-atk,114
gorebyss,sp-def,75
gorebyss,speed,52
relicanth,hp,100
relicanth,attack,90
relicanth,defense,130
relicanth,sp-atk,45
relicanth,sp-def,65
relicanth,speed,55
luvdisc,hp,43
luvdisc,attack,30
luvdisc,defense,55
luvdisc,sp-atk,40
luvdisc,sp-def,65
luvdisc,speed,97
bagon,hp,45
bagon,attack,75
bagon,defense,60
bagon,sp-atk,40
bagon,sp-def,30
bagon,speed,50
shelgon,hp,65
shelgon,attack,95
shelgon,defense,100
shelgon,sp-atk,60
shelgon,sp-def,50
shelgon,speed,50
salamence,hp,95
salamence,attack,135
salamence,defense,80
salamence,sp-atk,110
salamence,sp-def,80
salamence,speed,100
salamence-mega,hp,95
salamence-mega,attack,145
salamence-mega,defense,130
salamence-mega,sp-atk,120
salamence-mega,sp-def,90
salamence-mega,speed,120
beldum,hp,40
beldum,attack,55
beldum,defense,80
beldum,sp-atk,35
beldum,sp-def,60
beldum,speed,30
metang,hp,60
metang,attack,75
metang,defense,100
metang,sp-atk,55
metang,sp-def,80
metang,speed,50
metagross,hp,80
metagross,attack,135
metagross,defense,130
metagross,sp-atk,95
metagross,sp-def,90
metagross,speed,70
metagross-mega,hp,80
metagross-mega,attack,145
metagross-mega,defense,150
metagross-mega,sp-atk,105
metagross-mega,sp-def,110
metagross-mega,speed,110
regirock,hp,80
regirock,attack,100
regirock,defense,200
regirock,sp-atk,50
regirock,sp-def,100
regirock,speed,50
regice,hp,80
regice,attack,50
regice,defense,100
regice,sp-atk,100
regice,sp-def,200
regice,speed,50
registeel,hp,80
registeel,attack,75
registeel,defense,150
registeel,sp-atk,75
registeel,sp-def,150
registeel,speed,50
latias,hp,80
latias,attack,80
latias,defense,90
latias,sp-atk,110
latias,sp-def,130
latias,speed,110
latias-mega,hp,80
latias-mega,attack,100
latias-mega,defense,120
latias-mega,sp-atk,140
latias-mega,sp-def,150
latias-mega,speed,110
latios,hp,80
latios,attack,90
latios,defense,80
latios,sp-atk,130
latios,sp-def,110
latios,speed,110
latios-mega,hp,80
latios-mega,attack,130
latios-mega,defense,100
latios-mega,sp-atk,160
latios-mega,sp-def,120
latios-mega,speed,110
kyogre,hp,100
kyogre,attack,100
kyogre,defense,90
kyogre,sp-atk,150
kyogre,sp-def,140
kyogre,speed,90
kyogre-primal-reversion,hp,100
kyogre-primal-reversion,attack,150
kyogre-primal-reversion,defense,90
kyogre-primal-reversion,sp-atk,180
kyogre-primal-reversion,sp-def,160
kyogre-primal-reversion,speed,90
groudon,hp,100
groudon,attack,150
groudon,defense,140
groudon,sp-atk,100
groudon,sp-def,90
groudon,speed,90
groudon-primal-reversion,hp,100
groudon-primal-reversion,attack,180
groudon-primal-reversion,defense,160
groudon-primal-reversion,sp-atk,150
groudon-primal-reversion,sp-def,90
groudon-primal-reversion,speed,90
rayquaza,hp,105
rayquaza,attack,150
rayquaza,defense,90
rayquaza,sp-atk,150
rayquaza,sp-def,90
rayquaza,speed,95
rayquaza-mega,hp,105
rayquaza-mega,attack,180
rayquaza-mega,defense,100
rayquaza-mega,sp-atk,180
rayquaza-mega,sp-def,100
rayquaza-mega,speed,115
jirachi,hp,100
jirachi,attack,100
jirachi,defense,100
jirachi,sp-atk,100
jirachi,sp-def,100
jirachi,speed,100
deoxys-normal-forme,hp,50
deoxys-normal-forme,attack,150
deoxys-normal-forme,defense,50
deoxys-normal-forme,sp-atk,150
deoxys-normal-forme,sp-def,50
deoxys-normal-forme,speed,150
deoxys-attack-forme,hp,50
deoxys-attack-forme,attack,180
deoxys-attack-forme,defense,20
deoxys-attack-forme,sp-atk,180
deoxys-attack-forme,sp-def,20
deoxys-attack-forme,speed,150
deoxys-defense-forme,hp,50
deoxys-defense-forme,attack,70
deoxys-defense-forme,defense,160
deoxys-defense-forme,sp-atk,70
deoxys-defense-forme,sp-def,160
deoxys-defense-forme,speed,90
deoxys-speed-forme,hp,50
deoxys-speed-forme,attack,95
deoxys-speed-forme,defense,90
deoxys-speed-forme,sp-atk,95
deoxys-speed-forme,sp-def,90
deoxys-speed-forme,speed,180
turtwig,hp,55
turtwig,attack,68
turtwig,defense,64
turtwig,sp-atk,45
turtwig,sp-def,55
turtwig,speed,31
grotle,hp,75
grotle,attack,89
grotle,defense,85
grotle,sp-atk,55
grotle,sp-def,65
grotle,speed,36
torterra,hp,95
torterra,attack,109
torterra,defense,105
torterra,sp-atk,75
torterra,sp-def,85
torterra,speed,56
chimchar,hp,44
chimchar,attack,58
chimchar,defense,44
chimchar,sp-atk,58
chimchar,sp-def,44
chimchar,speed,61
monferno,hp,64
monferno,attack,78
monferno,defense,52
monferno,sp-atk,78
monferno,sp-def,52
monferno,speed,81
infernape,hp,76
infernape,attack,104
infernape,defense,71
infernape,sp-atk,104
infernape,sp-def,71
infernape,speed,108
piplup,hp,53
piplup,attack,51
piplup,defense,53
piplup,sp-atk,61
piplup,sp-def,56
piplup,speed,40
prinplup,hp,64
prinplup,attack,66
prinplup,defense,68
prinplup,sp-atk,81
prinplup,sp-def,76
prinplup,speed,50
empoleon,hp,84
empoleon,attack,86
empoleon,defense,88
empoleon,sp-atk,111
empoleon,sp-def,101
empoleon,speed,60
starly,hp,40
starly,attack,55
starly,defense,30
starly,sp-atk,30
starly,sp-def,30
starly,speed,60
staravia,hp,55
staravia,attack,75
staravia,defense,50
staravia,sp-atk,40
staravia,sp-def,40
staravia,speed,80
staraptor,hp,85
staraptor,attack,120
staraptor,defense,70
staraptor,sp-atk,50
staraptor,sp-def,60
staraptor,speed,100
bidoof,hp,59
bidoof,attack,45
bidoof,defense,40
bidoof,sp-atk,35
bidoof,sp-def,40
bidoof,speed,31
bibarel,hp,79
bibarel,attack,85
bibarel,defense,60
bibarel,sp-atk,55
bibarel,sp-def,60
bibarel,speed,71
kricketot,hp,37
kricketot,attack,25
kricketot,defense,41
kricketot,sp-atk,25
kricketot,sp-def,41
kricketot,speed,25
kricketune,hp,77
kricketune,attack,85
kricketune,defense,51
kricketune,sp-atk,55
kricketune,sp-def,51
kricketune,speed,65
shinx,hp,45
shinx,attack,65
shinx,defense,34
shinx,sp-atk,40
shinx,sp-def,34
shinx,speed,45
luxio,hp,60
luxio,attack,85
luxio,defense,49
luxio,sp-atk,60
luxio,sp-def,49
luxio,speed,60
luxray,hp,80
luxray,attack,120
luxray,defense,79
luxray,sp-atk,95
luxray,sp-def,79
luxray,speed,70
budew,hp,40
budew,attack,30
budew,defense,35
budew,sp-atk,50
budew,sp-def,70
budew,speed,55
roserade,hp,60
roserade,attack,70
roserade,defense,65
roserade,sp-atk,125
roserade,sp-def,105
roserade,speed,90
cranidos,hp,67
cranidos,attack,125
cranidos,defense,40
cranidos,sp-atk,30
cranidos,sp-def,30
cranidos,speed,58
rampardos,hp,97
rampardos,attack,165
rampardos,defense,60
rampardos,sp-atk,65
rampardos,sp-def,50
rampardos,speed,58
shieldon,hp,30
shieldon,attack,42
shieldon,defense,118
shieldon,sp-atk,42
shieldon,sp-def,88
shieldon,speed,30
bastiodon,hp,60
bastiodon,attack,52
bastiodon,defense,168
bastiodon,sp-atk,47
bastiodon,sp-def,138
bastiodon,speed,30
burmy-plant-cloak,hp,40
burmy-plant-cloak,attack,29
burmy-plant-cloak,defense,45
burmy-plant-cloak,sp-atk,29
burmy-plant-cloak,sp-def,45
burmy-plant-cloak,speed,36
burmy-sandy-cloak,hp,40
burmy-sandy-cloak,attack,29
burmy-sandy-cloak,defense,45
burmy-sandy-cloak,sp-atk,29
burmy-sandy-cloak,sp-def,45
burmy-sandy-cloak,speed,36
burmy-trash-cloak,hp,40
burmy-trash-cloak,attack,29
burmy-trash-cloak,defense,45
burmy-trash-cloak,sp-atk,29
burmy-trash-cloak,sp-def,45
burmy-trash-cloak,speed,36
wormadam-plant-cloak,hp,60
wormadam-plant-cloak,attack,59
wormadam-plant-cloak,defense,85
wormadam-plant-cloak,sp-atk,79
wormadam-plant-cloak,sp-def,105
wormadam-plant-cloak,speed,36
wormadam-sandy-cloak,hp,60
wormadam-sandy-cloak,attack,79
wormadam-sandy-cloak,defense,105
wormadam-sandy-cloak,sp-atk,59
wormadam-sandy-cloak,sp-def,85
wormadam-sandy-cloak,speed,36
wormadam-trash-cloak,hp,60
wormadam-trash-cloak,attack,69
wormadam-trash-cloak,defense,95
wormadam-trash-cloak,sp-atk,69
wormadam-trash-cloak,sp-def,95
wormadam-trash-cloak,speed,36
mothim,hp,70
mothim,attack,94
mothim,defense,50
mothim,sp-atk,94
mothim,sp-def,50
mothim,speed,66
combee,hp,30
combee,attack,30
combee,defense,42
combee,sp-atk,30
combee,sp-def,42
combee,speed,70
vespiquen,hp,70
vespiquen,attack,80
vespiquen,defense,102
vespiquen,sp-atk,80
vespiquen,sp-def,102
vespiquen,speed,40
pachirisu,hp,60
pachirisu,attack,45
pachirisu,defense,70
pachirisu,sp-atk,45
pachirisu,sp-def,90
pachirisu,speed,95
buizel,hp,55
buizel,attack,65
buizel,defense,35
buizel,sp-atk,60
buizel,sp-def,30
buizel,speed,85
floatzel,hp,85
floatzel,attack,105
floatzel,defense,55
floatzel,sp-atk,85
floatzel,sp-def,50
floatzel,speed,115
cherubi,hp,45
cherubi,attack,35
cherubi,defense,45
cherubi,sp-atk,62
cherubi,sp-def,53
cherubi,speed,35
cherrim-overcast-form,hp,70
cherrim-overcast-form,attack,60
cherrim-overcast-form,defense,70
cherrim-overcast-form,sp-atk,87
cherrim-overcast-form,sp-def,78
cherrim-overcast-form,speed,85
cherrim-sunshine-form,hp,70
cherrim-sunshine-form,attack,90
cherrim-sunshine-form,defense,70
cherrim-sunshine-form,sp-atk,87
cherrim-sunshine-form,sp-def,117
cherrim-sunshine-form,speed,85
shellos-west-sea,hp,76
shellos-west-sea,attack,48
shellos-west-sea,defense,48
shellos-west-sea,sp-atk,57
shellos-west-sea,sp-def,62
shellos-west-sea,speed,34
shellos-east-sea,hp,76
shellos-east-sea,attack,48
shellos-east-sea,defense,48
shellos-east-sea,sp-atk,57
shellos-east-sea,sp-def,62
shellos-east-sea,speed,34
gastrodon-west-sea,hp,111
gastrodon-west-sea,attack,83
gastrodon-west-sea,defense,68
gastrodon-west-sea,sp-atk,92
gastrodon-west-sea,sp-def,82
gastrodon-west-sea,speed,39
gastrodon-east-sea,hp,111
gastrodon-east-sea,attack,83
gastrodon-east-sea,defense,68
gastrodon-east-sea,sp-atk,92
gastrodon-east-sea,sp-def,82
gastrodon-east-sea,speed,39
ambipom,hp,75
ambipom,attack,100
ambipom,defense,66
ambipom,sp-atk,60
ambipom,sp-def,66
ambipom,speed,115
drifloon,hp,90
drifloon,attack,50
drifloon,defense,34
drifloon,sp-atk,60
drifloon,sp-def,44
drifloon,speed,70
drifblim,hp,150
drifblim,attack,80
drifblim,defense,44
drifblim,sp-atk,90
drifblim,sp-def,54
drifblim,speed,80
buneary,hp,55
buneary,attack,66
buneary,defense,44
buneary,sp-atk,44
buneary,sp-def,56
buneary,speed,85
lopunny,hp,65
lopunny,attack,76
lopunny,defense,84
lopunny,sp-atk,54
lopunny,sp-def,96
lopunny,speed,105
lopunny-mega,hp,65
lopunny-mega,attack,136
lopunny-mega,defense,94
lopunny-mega,sp-atk,54
lopunny-mega,sp-def,96
lopunny-mega,speed,135
mismagius,hp,60
mismagius,attack,60
mismagius,defense,60
mismagius,sp-atk,105
mismagius,sp-def,105
mismagius,speed,105
honchkrow,hp,100
honchkrow,attack,125
honchkrow,defense,52
honchkrow,sp-atk,105
honchkrow,sp-def,52
honchkrow,speed,71
glameow,hp,49
glameow,attack,55
glameow,defense,42
